No.,도메인,세부 도메인,의도 (Intention),문장
1,차량 제어,운전 제어,일자 따라 가기,앞 차 뒤에서 똑같이 가 줘.
2,주행 정보,주행 기록,자율 주행 주행 기록,최근 일주일 동안 자율 주행할 때 가장 많이 사용했던 기능 알려 줘.
3,차량 제어,도어 제어,조수석 차문 열기,조수석 차 문 여는 거 도와 줘.
4,차량 제어,공조 제어,에어컨 제어,에어컨 온도 밑으로 내려 줘.
5,차량 제어,속도 제어,주행 속도 세팅,차를 오십으로 몰아 주세요.
6,차량 제어,좌석 제어,좌석 통풍 켜기,전 좌석에 바람이 순환되게 해 줘.
7,비상 제어,보험사 연락,자동 보험사 연락,차량의 주행이 불가능하면 보험사에 연락과 동시에 견인 요청을 해 줘.
8,차량 제어,도어 제어,전체 차문 열기,문 좀 다 열면 좋겠다.
9,주행 정보,주행 기록,자율 주행 주행 기록,현재 자율 주행 운행 일지를 보고 싶어요.
10,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,비포장도로에서도 자율 주행이 가능한지 알려 줘.
11,차선 제어,차선 변경,오른쪽으로 차선 변경,오른쪽 방향으로 차선을 움직여 줘.
12,차량 제어,긴급 차량,에스오에스차량 양보,앰뷸런스 빨리 지나가야 하니까 비켜 줘.
13,비상 제어,보험사 연락,자동 보험사 연락,보험사 자동 연결 통화 부탁 해.
14,차량 제어,자율 주행 시작,자율 주행 모드 시작,끈 자율 주행 모드 다시 켜 줘.
15,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행 가능한지 확인해 봐 줘.
16,차량 제어,운전 제어,일자 따라 가기,앞 차 뒤에서 따라 달려 줘.
17,차량 제어,좌석 제어,좌석 온도 내리기,슬슬 더우니 시트 온도 낮춰 줘.
18,차량 제어,도어 제어,뒷자리 차문 열기,뒷자리 차 문 열어 줘라.
19,차량 제어,운전 제어,일자 추월,네가 앞 차 좀 추월해 줘.
20,주행 정보,주행 기록,자율 주행 주행 기록,주행 기록을 보고 싶은데 주행 정보로 들어가 줘.
21,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행하고 싶은데 지금 상황 어떤지 체크 좀 해 줄래?
22,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,지금 여기 자율 주행 가능한 곳이야?
23,차선 제어,갓길 이동 정차,갓길 이동 명령,갓길로 지금 가야 해.
24,차량 제어,긴급 차량,에스오에스차량 양보,지금 뒤에 붙은 앰뷸런스를 위해 옆 길로 빠져 줘.
25,차선 제어,갓길 이동 정차,갓길 이동 명령,전방에 갓길로 안내해 줘.
26,차량 제어,좌석 제어,좌석 온도 올리기,의자 데워 줘.
27,차량 제어,긴급 차량,에스오에스차량 양보,후송 차량이 지나가게 도와 줘.
28,차량 제어,좌석 제어,좌석 온도 올리기,시트 온도 더 따뜻하게 올려 줘.
29,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행 이용 불가능한 도로인지 말해 줘.
30,차선 제어,차선 변경,차선 변경,오백 미터 앞에서 이 차선으로 차선 변경.
31,차량 제어,운전 제어,일자 추월,앞 차보다 앞서가 줘.
32,차선 제어,갓길 이동 정차,갓길 이동 명령,차량 시스템 문제 생기면 갓길로 차 이동해 줘.
33,차선 제어,갓길 이동 정차,갓길 이동 명령,갓길에 섰을 때 비상 정지 기능 켜 줘.
34,차량 제어,긴급 차량,에스오에스차량 양보,구급차 먼저 통행할 수 있도록 운전해 줘.
35,차량 제어,공조 제어,히터 제어,히터 온도를 낮추고 싶어.
36,차량 제어,공조 제어,히터 제어,히터 바람 제일 세게 전환해 줘.
37,차량 제어,좌석 제어,좌석 온도 내리기,좌석 온도 조금 더 낮게 수정해.
38,비상 제어,보험사 연락,자동 보험사 연락,보험사에 연락과 동시에 블랙박스 영상을 전송해 줘.
39,차선 제어,차선 변경,오른쪽으로 차선 변경,역전 사거리 지나서 오른쪽 차로로 바꿔서 쭉 가.
40,차량 제어,공조 제어,에어컨 제어,에어컨으로 더 시원한 바람 불어 주겠니?
41,차량 제어,긴급 차량,에스오에스차량 양보,앰뷸런스 오고 있으니까 길을 터 줘야 해.
42,차량 제어,공조 제어,히터 제어,추우니까 히터 바람 파워로 틀어 줄래?
43,차선 제어,차선 변경,오른쪽으로 차선 변경,차를 우측 차선 따라 운행해.
44,비상 제어,차량 비상 정지,비상 정지 모드 켜기,차 내부에 문제 생기면 비상 정지 기능 켜 줘.
45,차량 제어,운전 제어,일자 추월,더 빨리 달려서 앞 차 지나가자.
46,차선 제어,갓길 이동 정차,갓길 이동 명령,긴급상황이라 차 갓길로 이동해 줘.
47,차량 제어,공조 제어,히터 제어,히터로 더 따뜻하게 머물고 싶어.
48,차량 제어,창문 제어,전체 창문 닫기,아무것도 들어오지 못하게 전체 창문 올려 줘.
49,차량 제어,운전 제어,일자 추월,앞 차보다 빨리 좀 가 줘.
50,비상 제어,보험사 연락,자동 보험사 연락,자율주행 운전 시 문제 생기면 바로 보험사에 연락해 줘.
51,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행 주 목적지는 어디인지 알려 줘.
52,차량 제어,공조 제어,히터 제어,운전석 히터만 작동시켜 줘.
53,비상 제어,차량 비상 정지,비상 정지 모드 끄기,비상 정지 모드 없애라.
54,비상 제어,보험사 연락,자동 보험사 연락,아홉시에 사고가 났는데 바로 보험사한테 전화해 줘.
55,차량 제어,좌석 제어,좌석 통풍 켜기,내 옆자리 통풍 잘 되게 해 줘.
56,차선 제어,갓길 이동 정차,갓길 이동 명령,휴식이 필요하니 앞에 있는 갓길에 내 차 정차시켜.
57,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,어제 잠을 못 자서 피곤한데 자율 주행 가능해?
58,차량 제어,공조 제어,히터 제어,히터 바람 방향 올려 줘.
59,차량 제어,자율 주행 시작,자율 주행 모드 종료,자율 주행 끌래.
60,비상 제어,보험사 연락,자동 보험사 연락,보험사 자동 호출 걸어 둬.
61,차량 제어,도어 제어,조수석 차문 닫기,조수석 문에 락 걸어 줘.
62,차량 제어,속도 제어,주행 속도 세팅,차량 속도 오십으로 맞춰 줘.
63,차선 제어,갓길 이동 정차,갓길 이동 명령,빨리 갓길로 몰아.
64,차량 제어,긴급 차량,에스오에스차량 양보,경찰차를 위해 양보해 줘.
65,차량 제어,좌석 제어,좌석 온도 제어,좌석 온도 제어 기능 운전석 빼고 다 꺼 줘.
66,차량 제어,도어 제어,뒷자리 차문 열기,뒷자리 차 문 열린곳 있는지 확인해 줘.
67,차선 제어,갓길 이동 정차,갓길 이동 명령,잠깐 갓길에 차 세워두자.
68,차량 제어,긴급 차량,에스오에스차량 양보,구급차 우선으로 갈 수 있게 해 줘.
69,비상 제어,보험사 연락,자동 보험사 연락,내 외부 트러블 생기면 담당 보험사에게 전화 연결.
70,주행 정보,주행 기록,자율 주행 주행 기록,가장 긴 자율 주행 기록은 뭐였어?
71,차량 제어,도어 제어,뒷자리 차문 열기,뒷자리 차문 오른쪽만 열어 줘.
72,비상 제어,차량 비상 정지,비상 정지 모드 켜기,비상 정지 모드를 켜 줘.
73,차량 제어,창문 제어,조수석 창문 열기,너무 덥다 조수석 창문 좀 열어 줘.
74,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행 운행 기록 궁금해.
75,차량 제어,자율 주행 시작,자율 주행 모드 종료,자율 주행으로 달리던 거 스탑해 줘.
76,비상 제어,차량 비상 정지,비상 정지 모드 끄기,비상 정지 모드 끄자.
77,차량 제어,운전 제어,일자 따라 가기,앞 차보다 먼저 가지 말고 따라 가.
78,비상 제어,차량 비상 정지,비상 정지 모드 켜기,위급상황시에 바로 정지 모드 작동시켜.
79,차량 제어,운전 제어,일자 따라 가기,앞 차랑 안전거리 유지하고 운전해.
80,차량 제어,좌석 제어,좌석 온도 제어,더우니까 좌석 시트 제어 기능 꺼.
81,차선 제어,차선 변경,차선 변경,국도 달릴 때 네가 자동 차선 변경해 줘.
82,차량 제어,도어 제어,뒷자리 차문 열기,목적지 도착 후 뒷자리 차 문 열어.
83,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행 모드 변경 언제 했는지 보고해.
84,차량 제어,창문 제어,조수석 창문 열기,바람 들어오게 조수석 창문 열어 줘.
85,차선 제어,갓길 이동 정차,갓길 이동 명령,가는 길에 갓길 있으면 세워.
86,비상 제어,차량 비상 정지,비상 정지 모드 끄기,너가 운전할 때 비상 정지 기능 오프.
87,차선 제어,차선 유지,차선 유지 모드 켜기,한 차선으로 유지해 놓고 주행하자.
88,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행 괜찮을까?
89,차량 제어,좌석 제어,좌석 통풍 켜기,좌석 공기 맑게 해 줘.
90,차량 제어,창문 제어,시동석 창문 닫기,시동석 창문 좀 닫아 줬으면 좋겠어.
91,차선 제어,차선 유지,차선 유지 모드 켜기,차선을 밟을 때에만 핸들에 개입해 줘.
92,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행으로 달린 거리를 계산해 줘.
93,차량 제어,운전 제어,일자 추월,잎에 보이는 차보다 더 빠르게 가주면 안돼?
94,비상 제어,보험사 연락,자동 보험사 연락,보험사 연락 자동 연결 시켜 줘.
95,비상 제어,차량 비상 정지,비상 정지 모드 켜기,너가 운전할 때 비상 정지 온.
96,차량 제어,창문 제어,조수석 창문 열기,조수석 창문 여시오.
97,차량 제어,공조 제어,히터 제어,히터 바람 방향 아래로 바꿔 줘.
98,차량 제어,자율 주행 시작,자율 주행 모드 종료,자율 운행 시스템 꺼 줘.
99,차량 제어,도어 제어,조수석 차문 닫기,지금 조수석 차문 열러 있으면 닫아주라.
100,차량 제어,창문 제어,전체 창문 열기,전체 창문 반 씩 다 열어 줘.
101,차량 제어,도어 제어,뒷자리 차문 열기,뒷 문으로 사람 들어올 거야.
102,차량 제어,공조 제어,에어컨 제어,에어컨 온도 올리자.
103,비상 제어,보험사 연락,자동 보험사 연락,가입한 보험사에 자동으로 연결 해라.
104,차량 제어,긴급 차량,에스오에스차량 양보,바로 뒤에서 경찰차 사이렌이 울리면 갓길에 정차해 줘.
105,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행에 적합한지 체크.
106,차선 제어,차선 변경,차선 변경,차선을 다른 쪽으로 변경해서 가면 좋을 거 같아.
107,차량 제어,속도 제어,주행 속도 세팅,너무 빠른 것 같은데 시속 팔십 킬로미터로 주행해.
108,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행 모드 온 가능한지 확인해 줘.
109,차량 제어,창문 제어,조수석 창문 닫기,바람이 들어오니깐 조수석 창문 닫아 줘.
110,차량 제어,도어 제어,뒷자리 차문 열기,아기 타야 하니까 뒷자리 차 문 다 열어 줘.
111,차량 제어,운전 제어,일자 따라 가기,앞에 차랑 목적지가 같으니까 따라서 가.
112,비상 제어,차량 비상 정지,비상 정지 모드 끄기,비상 정지 모드가 더 이상 필요하지 않아.
113,차선 제어,차선 변경,왼쪽으로 차선 변경,이제 곧 좌회전 해야 하니까 차선 왼쪽으로 바꿔 줘.
114,차량 제어,좌석 제어,좌석 통풍 끄기,좌석 통풍 때문에 소름 돋아 이제 꺼 줘.
115,차량 제어,긴급 차량,에스오에스차량 양보,경찰차가 빨리 갈 수 있도록 해주자.
116,차량 제어,좌석 제어,좌석 통풍 켜기,운전석 의자 시원하게 켜 줘.
117,차량 제어,긴급 차량,에스오에스차량 양보,에스오에스 차량은 양보 받는 차야.
118,차선 제어,갓길 이동 정차,갓길 이동 명령,가 쪽 길에 세워.
119,차량 제어,공조 제어,히터 켜기,히터로 손 좀 녹여야겠어.
120,차량 제어,공조 제어,히터 제어,지금 차내 온도 몇 도인지 확인해 주고 히터 온도 조금만 더 높여 줘.
121,차선 제어,차선 변경,차선 변경,사 차선으로 진입해.
122,차량 제어,창문 제어,조수석 창문 닫기,조수석 창문 완전히 올려 줘.
123,비상 제어,보험사 연락,자동 보험사 연락,지금 보험사랑 자동으로 콜 해 줘.
124,차량 제어,자율 주행 시작,자율 주행 모드 시작,운전 상태 자율 주행으로 바꿔주면 좋겠어.
125,비상 제어,보험사 연락,자동 보험사 연락,보험사 자동 연결 필요해.
126,주행 정보,주행 기록,자율 주행 주행 기록,출퇴근 구간 자율 주행 주행 기록 확인해 줘.
127,차량 제어,도어 제어,뒷자리 차문 열기,곧 타게 뒷자리 열어 줘.
